Top100Year,SongTitle,Artist,LyricsStatus,ReleaseYear,Genre,Lyrics,Label
2020,Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul",True,2020,"Afropop, UK Rap, Nigerian Hip Hop","Baby even consign even consign Baila La music e testing ya la vet amanita Louis Vuitton en vested Diamante gust candy ordo yo dig Mamacita amanita Qué bonito amanita Eh-oh-oh-oh Eh-oh-oh-oh Mamacita amanita Qué bonito amanita Ella no baba bunch tuba tumble Siempre list pay la rumba pay la rumba Do' amigo due secund Salen gasman la fund Le gust sugar el alcohol sugar else Sola la past major Vesti'a de Christian Dior Siempre legal candy sale el sol Dame de lo due yo eh Una patella Rosé Que la shorty tine see Ese booty mama la rope Ella tine also due due gust Ella tine also due due gust put mix put mix Put put put mix eh Alright okay love kind ways Boy got client call amanita Alright Boy got saying ""Ooh-la-la"" Ay Dios moo oh God Call amanita Mamacita amanita Qué bonito amanita Eh-oh-oh-oh Eh-oh-oh-oh Dame dame best Dame dame curio Mami give body not let go best baby yup special Damn baby want got First time seen like ""Who Dame dunce dame say vamps basilar like way move like like way wind hips like way grind twist Hot damn baby got lit put mix put mix Put put put mix put mix put mix Put put put mix eh Alright okay love kind ways Boy got client call amanita Alright Boy got saying ""Ooh-la-la"" Ay Dios moo oh God Call amanita Mamacita amanita Qué bonito amanita Eh-oh-oh-oh eh Eh-oh-oh-oh Put mix put via Put top ponce arroba Put put put ya Mami got fire got gasoline Mueve mama move Sacúdelo make zombie Girl make sweat like wasabi know got wet like tsunami want make princess want got interests ya Give ya diamond know impress ya hot baby let undress ya Alright okay love kind ways Boy got client call amanita Alright Boy got saying ""Ooh-la-la"" Ay Dios moo oh God Call amanita Alright okay love kind ways Boy got client call amanita Alright Boy got saying ""Ooh-la-la"" Ay Dios moo oh God Call amanita Translate English",Positive
2014,All Of Me,John Legend,True,2013,"R&B/Soul, Pop soul",would without smart mouth Drawing kicking got head spinning no kidding cannot pin going beautiful mind magical mystery ride dizzy not know hit alright head's water breathing fine crazy mind Loves Love curves edges perfect imperfections Give give end beginning Even lose winning give give ooh many times tell Even crying beautiful world beating around every mood downfall muse worst distraction rhythm blues cannot stop singing ringing head head's water breathing fine crazy mind Loves Love curves edges perfect imperfections Give give end beginning Even lose winning give give ooh Give oh Cards table showing hearts Risking though hard Loves Love curves edges perfect imperfections Give give end beginning Even lose winning give give give give ooh,Positive
2017,Humble.,Kendrick Lamar,True,2017,"New jack swing, Hip hop soul",Nobody pray day Way Yeah yeah Ayy remember syrup sandwiches crime allowances Finesse counterfeits counting Parmesan accountant lives fact downing D'USSÉ boo tastes like Kool-Aid analysts Girl buy ass world know good not sit taste blues get way petty let extras Pull block break playing Tetris A.m. pump pump funk Eat per die got hate funk quit BM still ride Mercedes funk quit season still greatest funk left stroke went viral Right stroke put lily baby spiral Soprano C like keep high note levels know Tell humble whole Sit whole hold lily hold humble whole Sit whole sit lily sit lily humble whole hold Sit whole hold lily hold humble whole Sit whole hold hold humble whole hold Sit whole hold lily hold lily humble whole Sit whole sit lily sit lily humble whole hold Sit whole hold lily hold humble whole Sit whole hold hold hold thinking fronting Man-Man? Get fa stage Sandman Get fa not right make play blowing whole life sick tired Photoshop Show something natural like fro Richard Pryor Show something natural want feel stretch marks Still take right mama couch Polo socks Ayy shit way crazy not amaze blew cool AC Obama paged not fabricate faking stay modest elaborate Grey Poupon Evian TED Talk Watch soul speak let mess talk kill uh not alcohol realest uh Tell humble whole Sit whole hold lily humble whole Sit whole sit lily sit lily Tell sit whole hold lily hold humble whole Sit whole hold hold hold humble whole hold Sit whole hold lily hold lily humble whole Sit whole sit lily sit lily humble whole hold Sit whole hold lily hold humble whole hold Sit whole hold hold,Negative
2023,Paybach,Gunna,True,2023,"Dirty rap, R&B/Soul, Afroswing, Hip-Hop/Rap, UK Rap","gone feel like payback haters love say see outside come stay stay Uh Southside Mayday Brave hat (A hate Uh dog going crazy not want sit back want live pray get back smoking shedding tears large Maybach No remorse told mom relax not sipped purple long not want relapse Niggas say swear not still getting product business Motherfuck system trona give us sentence would tell difference not know feeling not know feeling Rollin' getting high ashes falling linen Life changing time lately reminiscing Sittin' back Maybach wishing Bentley Talkin' fuck nights always envy Yeah know envious Switching brother serious Nigga not gone touch period person fear world God world God) Please not look going far made mistakes still star hate government trona tear us apart keep going heart gone feel like payback haters love say see outside come stay stay Uh Southside Mayday Brave hat (A hate Uh dog going crazy not want sit back want live pray get back smoking shedding tears large Maybach No remorse told mom relax not sipped purple long not want relapse Daytime chills feel frustration Nigga done got big like going nation got fix real problems take maintenance solitude figure situation Real discrete location state lily lady lily lady Told dog ""Be patient gone boost back ratings Condo overseas told ""This not no vacation Gon' times ten time times waited done wait enough wait enough take fall break build build Uh staying counting hundred plus hundred plus fucking suckers keep holding nuts holding nuts Gunna running love thought fame really never lost lot nights ooh lot doves ooh woad thought surface rose ooh woad gone feel like payback haters love say see outside come stay stay Uh Southside Mayday Brave hat (A hate Uh dog going crazy not want sit back want live pray get back smoking shedding tears large Maybach No remorse told mom relax not sipped purple long not want relapse",Positive
2015,B**** I'm Madonna,Madonna Featuring Nicki Minaj,True,2015,"Pop, German Pop, UK R&B",bit bit bit bit bit bit bit bit bit (Ooh ooh bit bit bit bit bit bit bit bit bit (You going love bit bit bit bit (Ooh ooh bit bit bit bit bit (You cannot touch bit bit bit bit (Ooh ooh bit bit bit bit bit (Because bad bitch bit bit bit bit bit Bitch Madonna Bitch Madonna Bit bit bit bit bit bit bit bit Bitch Madonna Bitch Madonna Bit bit bit bit bit bit bit bit bit Bit bit bit bit bitch Madonna Bit bit bit bit bit bit bit bit bit Bit bit bit bit bitch Madonna go hard go home gone night long get freaky want Na-na-na-na-na go hard go home gone night long get freaky want Bitch Madonna Hold nose rose thing froze stove eating like dinner run shit not fall back track sprinter bossed got awestruck not tossup winner Beep-beep bitch move fore Uzi Miu Miu shoes not got thing left prove bottle service night pop urban right go hard go home zone bitch Madonna hoes know Bitch Madonna Bit bit bit bit bit bit bit bit bit bit Bit bit bit bitch Madonna Bit bit bit bit bit bit bit bit bit bit Bit bit bit bitch Madonna Bit bit bit bit bit bit bit bit bit bit Bit bit bit bitch Madonna Bit bit bit bit bit bit bit bit bit bit Bit bit bit bitch Madonna Bit bit bit bit bit bit bit bit Bit bit bit bit bit bit bit bit bitch Madonna,Negative
2018,One Kiss,Calvin Harris & Dua Lipa,True,2018,"Tropical house, Diva house, Pop",One kiss takes Fallin' love Possibilities look like need Let take night love real easy know still want see Sunday morning music real loud Let love moon still Something lit heaven feeling not let sleep lost way move way feel One kiss takes Fallin' love Possibilities look like need One kiss takes Fallin' love Possibilities look like need One One One One want feel skin mine Feel eyes exploring Passion message smile Take time Something lit heaven feeling not let sleep lost way move way feel One kiss takes Fallin' love Possibilities look like need One kiss takes Fallin' love Possibilities look like need One One One One See wonderland eyes Might need company tonight Something lit heaven feeling not let sleep lost way move way feel One kiss takes Fallin' love Possibilities look like need One kiss takes Fallin' love Possibilities look like need One One One One,Positive
2017,Something Just Like This,The Chainsmokers & Coldplay,True,2017,"Pop music, Electronic dance music, Electropop",reading books old legends myths Achilles gold Hercules gifts Spider-Man's control Batman fists clearly not see upon list said want got much want risk not looking somebody superhuman gifts superhero fairytale bliss something turn Somebody kiss want something like Doo-doo-doo Doo-doo-doo voodoo Doo-doo-doo Oh want something like Doo-doo-doo Doo-doo-doo voodoo Doo-doo-doo Oh want something like want something like reading books old legends myths testaments told moon eclipse Superman unrolls suit lifts not kind person fits said want got much want risk not looking somebody superhuman gifts superhero fairytale bliss something turn Somebody miss want something like want something like Oh want something like Doo-doo-doo Doo-doo-doo voodoo Doo-doo-doo Oh want something like Doo-doo-doo Doo-doo-doo voodoo Doo-doo-doo want got much want risk not looking somebody superhuman gifts superhero fairytale bliss something turn Somebody kiss want something like Oh want something like Oh want something like Oh want something like,Positive
2019,Speechless,Dan + Shay,True,2019,"Rock, Country music, Folk-pop",say five smell perfume floating stairs fixing hair like know mess second see not surprised happens every time nothing new always night like tonight thank God read mind look eyes speechless Starin' standing dress not secret watching speechless already know weakness time nervous Every time walk room speechless started said hello something daze Ever since day met take breath lungs Cannot even fight words mouth without even trying speechless Starin' standing dress not secret watching speechless already know weakness time nervous Every time walk room speechless Yeah baby always night like tonight thank God read mind look eyes speechless standing dress Girl not secret watching Ooh ooh speechless already know weakness time nervous Every time walk room speechless Oh know baby,Positive
2021,Thot Shit,Megan Thee Stallion,True,2021,"R&B/Soul, Pop, Neo-Soul","Hands knees shaking ass shit Post pic fixing make profit liquor hit bitch get toxic (Why fuck club nights lit since brunch shit Order 42 table let us pop shit Missionary top shit Pussy-ass nights hating closet ah Hoes trona call snake shit guess relate bitch spit whole gotta venom since hoes rats come around see whole gotta dinner walk around house stop every mirror stare posterior not give fuck talk behind back bitch knew better let hear Hands knees shaking ass shit Hands knees shaking ass shit shit Hands knees shaking ass shit Hands knees hatbands knees Hands knees shaking ass shit Hands knees shaking ass shit shit Hands knees shaking ass shit Hands knees hands knees Hoes said wish bitch would genie Bitch hot got stay bikinis got girl keep begging see love night got mouth full VVs No not patient let treat got doctor ordering CCs Go place no face no case Ninety-nine percent tint Wraith remember hoes used clap happily bossed hoes mad Acting like riding whole time trona pass Watchin' go still trona drag Actin' like winning think actually supporting really attacking not give fuck blog trona bash shit per Recording Academy Hands knees shaking ass shit Hands knees shaking ass shit shit Hands knees shaking ass shit Hands knees hatbands knees Hands knees shaking ass shit Hands knees shaking ass shit shit Hands knees shaking ass shit Hands knees hands knees Drinkin' motherfucking bottle shit Everything eat go straight pockets 2021 fixing graduate college Goth girl shit real hot topic Fuckin' night make sing pop shit need real headbanger rock shit Pussy like crack want hit like dope Got real hot box bitch not smoke Hot girl still coldest hey big homie not oldest hmm Bitch dry hating trona get noticed Man not nobody come see Otis look many bitches lying say bars better really puppets really got go Geppetto really talking really apply whoever pen freak go bitch night Big bank take lily bank bitch add Hoes taking shots not caliber Booked squeeze lily head calendar Lookin' mirror like ""Damn not brag enough LVs Double C's Birkins working chain not hitting bitch not hurting Look not even fixing argue bitch One thing know two things certain None hoes saying shit face none hoes fixing see bank keep talking shit want dare one hoes come tell cannot not even speaking night not spending could never say one women not even let nights know stay damned thinking popping pimping Hands knees shaking ass shit Hands knees shaking ass shit shit Hands knees shaking ass shit Hands knees hatbands knees Hands knees shaking ass shit Hands knees shaking ass shit shit Hands knees shaking ass shit Hands knees hands knees",Negative
2023,Sure Thing,Miguel,True,2010,"Corrido, Regional Mexican, Rock en Español, Hip-Hop/Rap",Love like brother Treat like friend Respect like lover Oh oh oh oh oh oh could bet never got sweat oh oh oh oh oh could bet never got sweat yeah yeah yeah could bet never got sweat could bet never got sweat cash rubber band match fuse boom Painter baby could muse reporter baby could news cigarette smoker raise bet joker Checked chalk blackboard talk walk yeah Even sky comes falling Even sun not shine got faith put pretty little hand mine Even wire babe Even die could baby simple plain love sure thing could bet never got sweat yeah yeah yeah could bet never got sweat could bet never got sweat could bet never got sweat could lover fighter babe blunt could lighter babe Fire Writer baby could quote yeah lyric baby could note record Saint sinner prize winner deserve Paper baby pen Say one ten Real not pretend Even sky comes falling yeah yeah yeah yeah yeah Even sun not shine got faith put pretty little hand mine Even could bet never got sweat wire baby Even die could bet never got sweat (You could bet never got sweat could baby simple plain (You could bet never got sweat love sure thing Uh rock baby Let hold arms Talk babe yeah yeah Uh rock baby Let hold arms Talk babe yeah yeah love simple pie baby Yeah sure thing sure thing Oh sure thing sure thing Even could bet never got sweat sky comes falling Even could bet never got sweat sun not shine (You could bet never got sweat got faith put pretty little hand mine could bet never got sweat Even could bet never got sweat wire babe Even could bet never got sweat die could bet never got sweat could baby simple plain (You could bet never got sweat love sure thing Love like brother could bet never got sweat Treat like friend could bet never got sweat Respect like lover could bet never got sweat Oh oh oh oh oh oh,Positive
2018,Better Now,Post Malone,True,2018,"R&B/Soul, Hip-Hop/Rap",probably think better better say not around not around know never meant let let Would gave anything would gave everything know say better better say not around not around know never meant let let Would gave anything would gave everything not believe would end no end not Everythin' came second Benzo not even speaking friends no knew uncles aunts though haunts thought Twenty candles blow open eyes looking forward rest lives rest lives Used keep picture posted bedside bedside dresser socks not like rolling rolling rolling rolling brothers like Jonas Jonas Drinkin' Henny trona forget cannot get shit head probably think better better say not around not around know never meant let let Would gave anything would gave everything know say better better say not around not around know never meant let let Would gave anything would gave everything seen dude dude seemed like pretty cool broken Life goes wonder going take going take Another foreign bigger chain bigger chain no matter life changed keep looking back better days probably think better better say not around not around know never meant let let Would gave anything would gave everything know say better better say not around not around know never meant let let Would gave anything would gave everything promise swear okay love life love life probably think better better say not around not around know never meant let let Would gave anything would gave everything know say better better say not around not around know never meant let let Would gave anything would gave everything,Positive
2022,AA,Walker Hayes,True,2022,"Classical, Pop, Hip-Hop/Rap",Alright Coffee cup cold black Wish little shot Jack Besides cannot complain trona dang thing Might change oil truck not paying no bucks Kids need shoes mama needs Levi's trona keep daughters pole sons jail Tryna get church not go hell trona keep wife figuring married married way way Alabama love Nick Saban Tryna write song local country station's play Hey trona stay AA Ooh Well gave Skoal cigarettes hooked Nicorette Trying not like old man older get Tryna get paid little love made Hey end day another John Deere guy tractor Tryna steer daughters pole sons jail sons jail Tryna get church not go hell (I not want got trona keep wife babe figuring (I love married fine girl married way way Alabama love Nick Saban (Roll Tide) Tryna write song local country station's play (I trona write song Hey trona stay AA Ooh ooh ooh Come right Said trona stay AA everyday One step time Life's hard family's weird Sometimes need beer get amen Man trona keep daughters pole sons jail sons jail Tryna get church not go hell (I not want got trona keep wife babe figuring (I love married fine girl married way way Alabama love Nick Saban (Roll Tide) Tryna write song local country station's play (I trona write song Hey trona stay AA Oh hey hey hey trona stay AA Yes,Positive
2019,Ran$om,Lil Tecca,True,2019,"Trap music, Punk rock, Alternative/Indie, Pop, Holiday",Turn dancer Yeah (Internet Money bitch got black got white want Hop outside Ghost hop Phantom know not dumb try take flow take - ransom know gone see blowing say want song got two twin Glocks turn dancer see two twin pops leave banner got two thick shots want lick gang yeah got red got blue want Chanel Balenciaga Louis Vuitton know got Fendi Prada hit Milan needed die rider need one started bottom could see way stunt want diamonds want - weigh ton pops trona line hate place - not know know place got lots shanties trona pull place not want last year get face know want taste know want downfall - laced got black got white want Hop outside Ghost hop Phantom know not dumb try take flow take - ransom know gone see blowing say want song got two twin Glocks turn dancer see two twin pops leave banner got two thick shots want lick gang yeah got black got white want Hop outside Ghost hop Phantom know not dumb try take flow take - ransom know gone see blowing say want song got two twin Glocks turn dancer see two twin pops leave banner got two thick shots want lick gang yeah,Positive
2019,Act Up,City Girls,True,2018,"Pop rock, Alternative rock, Alternative/Indie",Real ass bitch give fuck night Big Birkin bag hold five six figures Stripes ass call pussy Tigger Fuckin' scamming ass rich ass night group bitches not no adding picture Drop couple racks watch ass get bigger Drinkin' liquor looking night money right eat like Snicker not got time fake ass hoes Talkin' loud fake ass clothes Fake ass shoes match fake ass gold realest bitch ever snake ass hoes Act get snatched Act get snatched Act get snatched Dirty ass nails baby girl need back Yung Miami came run sack Tired ass hoes page trona track us Brand new chain City Girls going platinum keep baby Glock not fighting no random period bitches weak serious let taste pussy acting delirious dash Rover like Fast Furious see number phone acting curious gone buy Gucci ask classy night rocking Tom Ford bet lily sister want look like bet lily brother want fuck Hood bitch good pussy not average Um cannot come around without cabbage Um pop pussy bitch quick like bubblegum not never worry deal fun Act get snatched Act get snatched Act get snatched Dirty ass nails baby girl need back JT track know paper Pussy sweet pussy tight called Lifesaver ass broke night hell nah cannot date ya ass rich night fuck ya til not one night scammed turning dancer make clap like got right answer Sit manners get harder hammer want freak pussy pink breast cancer Oh like big butts well like big bucks not care chain night big truck Yeah know getting spending Give fuck night got not giving B-badass bitch bad attitude Nails done hair done ass baby daddy fucking sucking not answer bitch Act get snatched Act get snatched Act get snatched Dirty ass nails baby girl need back,Negative
2023,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,True,2023,"Rap music, Alternative/Indie, Pop, UK R&B, UK Rap","Take look inside heart room not hold breath til get one knee want hold looking good enough ever feel Would ever picture us Every time pull hair well fear find ugly one day disappear point crying never even love ever want ever good enough The-the boy's liar boy's liar not see ya not looking boy boy's liar boy's liar not see ya not looking boy Good good Good good Good good Good good say good enough grabbing Thinkin' shit not tell one making fun girl bum Like boy cap saying home know like Bet blowing back Thinkin' know ass fat uh huh Callin' phone like ""Yo send PIN"" Duckin' shit know hit not gone respond not sleep enough without cannot eat enough without not speak mean not like sneaky shit The-the boy's liar boy's liar not see ya not looking boy boy's liar boy's liar not see ya not looking boy Good good Good good Good good Good good",Positive
2014,Beat Of The Music,Brett Eldredge,True,2013,"Pop, UK R&B, Hip-Hop/Rap, Rock",Well met couple hours ago last night town hey would not know would get hooked girl blue diamond eyes Mexico oh walking asking dance Smilin' smile reaching hand Well move two would like show still got chance got soul know use Put hand hip know lose got heart racing like nothing Fallin' love beat music Oh-oh would not want stay Yeah Oh-oh let plane fly away away away got soul know use Put hand hip know lose got heart racing like nothing Fallin' love beat music beat music think could get used steel drum playing Wakin' beach know saying One night would alright hold baby got soul know use Put hand hip know lose got heart racing like nothing Falling love beat music falling love beat music Ooh-ooh Beat music Yay-ay-ay Yay-ay-ay ay Yay-ay-ay,Positive
2021,Country Again,Thomas Rhett,True,2021,"Alternative/Indie, Country","quit hunting daddy Guess not make time year since seen deer line day hooked monster reeled thought ""Man feels good country Huh spent way less time Nashville time L.A. back home buddies quit calling Thought much plate last night cracked cold beers cranked Eric Church ten Thought ""Man feels good country Yeah love California sure not Tennessee roots Georgia Yeah started missing would not change things done places Man feels good country traded Silverado not need no four four Tucked boots back closet not feel like no dug slipped feet since Man feels good country Oh Yeah love California sure not Tennessee roots Georgia Yeah started missing would not change things done places Man feels good country traded sunsets wife hours phone even right beside still not really home last night built fire Watched moonlight kiss skin thought ""Man feels good country Man feels good country saw light found way home Thank Lord Amen Man feels good country",Positive
